name,type,describe
风扇端_滚动体_深度7_载荷0,fault_level_4,风扇端_滚动体_深度7_载荷0
风扇端_滚动体_深度7_载荷1,fault_level_4,风扇端_滚动体_深度7_载荷1
风扇端_滚动体_深度7_载荷2,fault_level_4,风扇端_滚动体_深度7_载荷2
风扇端_滚动体_深度7_载荷3,fault_level_4,风扇端_滚动体_深度7_载荷3
风扇端_滚动体_深度14_载荷0,fault_level_4,风扇端_滚动体_深度14_载荷0
风扇端_滚动体_深度14_载荷1,fault_level_4,风扇端_滚动体_深度14_载荷1
风扇端_滚动体_深度14_载荷2,fault_level_4,风扇端_滚动体_深度14_载荷2
风扇端_滚动体_深度14_载荷3,fault_level_4,风扇端_滚动体_深度14_载荷3
风扇端_滚动体_深度21_载荷0,fault_level_4,风扇端_滚动体_深度21_载荷0
风扇端_滚动体_深度21_载荷1,fault_level_4,风扇端_滚动体_深度21_载荷1
风扇端_滚动体_深度21_载荷2,fault_level_4,风扇端_滚动体_深度21_载荷2
风扇端_滚动体_深度21_载荷3,fault_level_4,风扇端_滚动体_深度21_载荷3
风扇端_内圈_深度7_载荷0,fault_level_4,风扇端_内圈_深度7_载荷0
风扇端_内圈_深度7_载荷1,fault_level_4,风扇端_内圈_深度7_载荷1
风扇端_内圈_深度7_载荷2,fault_level_4,风扇端_内圈_深度7_载荷2
风扇端_内圈_深度7_载荷3,fault_level_4,风扇端_内圈_深度7_载荷3
风扇端_内圈_深度14_载荷0,fault_level_4,风扇端_内圈_深度14_载荷0
风扇端_内圈_深度14_载荷1,fault_level_4,风扇端_内圈_深度14_载荷1
风扇端_内圈_深度14_载荷2,fault_level_4,风扇端_内圈_深度14_载荷2
风扇端_内圈_深度14_载荷3,fault_level_4,风扇端_内圈_深度14_载荷3
风扇端_内圈_深度21_载荷0,fault_level_4,风扇端_内圈_深度21_载荷0
风扇端_内圈_深度21_载荷1,fault_level_4,风扇端_内圈_深度21_载荷1
风扇端_内圈_深度21_载荷2,fault_level_4,风扇端_内圈_深度21_载荷2
风扇端_内圈_深度21_载荷3,fault_level_4,风扇端_内圈_深度21_载荷3
风扇端_外圈_深度7_载荷0,fault_level_4,风扇端_外圈_深度7_载荷0
风扇端_外圈_深度7_载荷1,fault_level_4,风扇端_外圈_深度7_载荷1
风扇端_外圈_深度7_载荷2,fault_level_4,风扇端_外圈_深度7_载荷2
风扇端_外圈_深度7_载荷3,fault_level_4,风扇端_外圈_深度7_载荷3
风扇端_外圈_深度14_载荷0,fault_level_4,风扇端_外圈_深度14_载荷0
风扇端_外圈_深度14_载荷1,fault_level_4,风扇端_外圈_深度14_载荷1
风扇端_外圈_深度14_载荷2,fault_level_4,风扇端_外圈_深度14_载荷2
风扇端_外圈_深度14_载荷3,fault_level_4,风扇端_外圈_深度14_载荷3
风扇端_外圈_深度21_载荷0,fault_level_4,风扇端_外圈_深度21_载荷0
风扇端_外圈_深度21_载荷1,fault_level_4,风扇端_外圈_深度21_载荷1
风扇端_外圈_深度21_载荷2,fault_level_4,风扇端_外圈_深度21_载荷2
风扇端_外圈_深度21_载荷3,fault_level_4,风扇端_外圈_深度21_载荷3
驱动端_滚动体_深度7_载荷0,fault_level_4,驱动端_滚动体_深度7_载荷0
驱动端_滚动体_深度7_载荷1,fault_level_4,驱动端_滚动体_深度7_载荷1
驱动端_滚动体_深度7_载荷2,fault_level_4,驱动端_滚动体_深度7_载荷2
驱动端_滚动体_深度7_载荷3,fault_level_4,驱动端_滚动体_深度7_载荷3
驱动端_滚动体_深度14_载荷0,fault_level_4,驱动端_滚动体_深度14_载荷0
驱动端_滚动体_深度14_载荷1,fault_level_4,驱动端_滚动体_深度14_载荷1
驱动端_滚动体_深度14_载荷2,fault_level_4,驱动端_滚动体_深度14_载荷2
驱动端_滚动体_深度14_载荷3,fault_level_4,驱动端_滚动体_深度14_载荷3
驱动端_滚动体_深度21_载荷0,fault_level_4,驱动端_滚动体_深度21_载荷0
驱动端_滚动体_深度21_载荷1,fault_level_4,驱动端_滚动体_深度21_载荷1
驱动端_滚动体_深度21_载荷2,fault_level_4,驱动端_滚动体_深度21_载荷2
驱动端_滚动体_深度21_载荷3,fault_level_4,驱动端_滚动体_深度21_载荷3
驱动端_内圈_深度7_载荷0,fault_level_4,驱动端_内圈_深度7_载荷0
驱动端_内圈_深度7_载荷1,fault_level_4,驱动端_内圈_深度7_载荷1
驱动端_内圈_深度7_载荷2,fault_level_4,驱动端_内圈_深度7_载荷2
驱动端_内圈_深度7_载荷3,fault_level_4,驱动端_内圈_深度7_载荷3
驱动端_内圈_深度14_载荷0,fault_level_4,驱动端_内圈_深度14_载荷0
驱动端_内圈_深度14_载荷1,fault_level_4,驱动端_内圈_深度14_载荷1
驱动端_内圈_深度14_载荷2,fault_level_4,驱动端_内圈_深度14_载荷2
驱动端_内圈_深度14_载荷3,fault_level_4,驱动端_内圈_深度14_载荷3
驱动端_内圈_深度21_载荷0,fault_level_4,驱动端_内圈_深度21_载荷0
驱动端_内圈_深度21_载荷1,fault_level_4,驱动端_内圈_深度21_载荷1
驱动端_内圈_深度21_载荷2,fault_level_4,驱动端_内圈_深度21_载荷2
驱动端_内圈_深度21_载荷3,fault_level_4,驱动端_内圈_深度21_载荷3
驱动端_外圈_深度7_载荷0,fault_level_4,驱动端_外圈_深度7_载荷0
驱动端_外圈_深度7_载荷1,fault_level_4,驱动端_外圈_深度7_载荷1
驱动端_外圈_深度7_载荷2,fault_level_4,驱动端_外圈_深度7_载荷2
驱动端_外圈_深度7_载荷3,fault_level_4,驱动端_外圈_深度7_载荷3
驱动端_外圈_深度14_载荷0,fault_level_4,驱动端_外圈_深度14_载荷0
驱动端_外圈_深度14_载荷1,fault_level_4,驱动端_外圈_深度14_载荷1
驱动端_外圈_深度14_载荷2,fault_level_4,驱动端_外圈_深度14_载荷2
驱动端_外圈_深度14_载荷3,fault_level_4,驱动端_外圈_深度14_载荷3
驱动端_外圈_深度21_载荷0,fault_level_4,驱动端_外圈_深度21_载荷0
驱动端_外圈_深度21_载荷1,fault_level_4,驱动端_外圈_深度21_载荷1
驱动端_外圈_深度21_载荷2,fault_level_4,驱动端_外圈_深度21_载荷2
驱动端_外圈_深度21_载荷3,fault_level_4,驱动端_外圈_深度21_载荷3
