start_entity,label,end_entity,label,relationship
DE_FAULT,fault,FAULT,fault,belongsto
FE_FAULT,fault,FAULT,fault,belongsto
DE_BO,fault,DE_FAULT,fault,belongsto
DE_IR,fault,DE_FAULT,fault,belongsto
DE_OR,fault,DE_FAULT,fault,belongsto
FE_IR,fault,FE_FAULT,fault,belongsto
FE_OR,fault,FE_FAULT,fault,belongsto
DE_BO_7,feature,DE_BO,fault,belongsto
DE_BO_14,feature,DE_BO,fault,belongsto
DE_BO_21,feature,DE_BO,fault,belongsto
DE_IR_7,feature,DE_IR,fault,belongsto
DE_IR_14,feature,DE_IR,fault,belongsto
DE_IR_21,feature,DE_IR,fault,belongsto
DE_OR_7,feature,DE_OR,fault,belongsto
DE_OR_14,feature,DE_OR,fault,belongsto
DE_OR_21,feature,DE_OR,fault,belongsto
FE_IR_7,feature,FE_IR,fault,belongsto
FE_IR_14,feature,FE_IR,fault,belongsto
FE_IR_21,feature,FE_IR,fault,belongsto
FE_OR_7,feature,FE_OR,fault,belongsto
FE_OR_14,feature,FE_OR,fault,belongsto
FE_OR_21,feature,FE_OR,fault,belongsto
